Category: All categories

Time,Donald Trump: (United States),Kamala Harris: (United States),Election contest: (United States)
2025-09-13T18:04:00-05:00,64,2,8
2025-09-13T18:12:00-05:00,65,3,8
2025-09-13T18:20:00-05:00,68,2,8
2025-09-13T18:28:00-05:00,63,2,8
2025-09-13T18:36:00-05:00,63,2,8
2025-09-13T18:44:00-05:00,63,2,8
2025-09-13T18:52:00-05:00,66,3,8
2025-09-13T19:00:00-05:00,67,3,8
2025-09-13T19:08:00-05:00,69,3,8
2025-09-13T19:16:00-05:00,65,3,8
2025-09-13T19:24:00-05:00,71,3,7
2025-09-13T19:32:00-05:00,69,3,9
2025-09-13T19:40:00-05:00,66,3,7
2025-09-13T19:48:00-05:00,68,3,8
2025-09-13T19:56:00-05:00,67,3,8
2025-09-13T20:04:00-05:00,70,3,8
2025-09-13T20:12:00-05:00,67,2,8
2025-09-13T20:20:00-05:00,71,3,9
2025-09-13T20:28:00-05:00,71,2,8
2025-09-13T20:36:00-05:00,71,3,9
2025-09-13T20:44:00-05:00,70,3,8
2025-09-13T20:52:00-05:00,72,3,9
2025-09-13T21:00:00-05:00,72,3,8
2025-09-13T21:08:00-05:00,69,4,8
2025-09-13T21:16:00-05:00,76,3,9
2025-09-13T21:24:00-05:00,67,3,9
2025-09-13T21:32:00-05:00,72,3,9
2025-09-13T21:40:00-05:00,72,3,8
2025-09-13T21:48:00-05:00,75,3,9
2025-09-13T21:56:00-05:00,72,3,9
2025-09-13T22:04:00-05:00,75,3,8
2025-09-13T22:12:00-05:00,70,3,9
2025-09-13T22:20:00-05:00,71,3,9
2025-09-13T22:28:00-05:00,74,3,8
2025-09-13T22:36:00-05:00,74,4,9
2025-09-13T22:44:00-05:00,75,3,10
2025-09-13T22:52:00-05:00,75,3,8
2025-09-13T23:00:00-05:00,76,3,10
2025-09-13T23:08:00-05:00,74,3,9
2025-09-13T23:16:00-05:00,79,3,8
2025-09-13T23:24:00-05:00,78,3,9
2025-09-13T23:32:00-05:00,78,3,9
2025-09-13T23:40:00-05:00,78,4,9
2025-09-13T23:48:00-05:00,73,2,9
